return_id,order_id,customer_id,product_id,return_date,return_reason,refund_amount,return_status
RET100035,ORD1000397,CUST109273,PROD10481,2024-09-14,Wrong product,17330.5,Refund Completed
RET100036,ORD1000418,CUST113334,PROD10031,2025-02-05,Product not as expected,2157.75,Refund Completed
RET100037,ORD1000431,CUST103141,PROD10129,2025-12-01,Quality issue,5929.7,Approved
RET100038,ORD1000442,CUST122564,PROD10152,2025-08-03,Size issue,0.0,Rejected
RET100039,ORD1000477,CUST110450,PROD10236,2024-01-04,Changed mind,22044.3,Refund Completed
RET100040,ORD1000477,CUST110450,PROD10258,2023-12-31,Product not as expected,0.0,Pending
RET100041,ORD1000491,CUST118099,PROD10031,2023-02-03,Product damaged,2315.25,Refund Completed
RET100042,ORD1000496,CUST117634,PROD10403,2024-10-18,Product damaged,5907.3,Approved
RET100043,ORD1000496,CUST117634,PROD10078,2024-10-14,Quality issue,766.3,Approved
RET100044,ORD1000517,CUST123594,PROD10067,2024-10-28,Product not as expected,623.2,Refund Completed
RET100045,ORD1000536,CUST119237,PROD10133,2024-03-10,Wrong product,0.0,Rejected
RET100046,ORD1000560,CUST102651,PROD10226,2023-07-03,Changed mind,551.0,Refund Completed
RET100047,ORD1000565,CUST101476,PROD10495,2025-09-07,Size issue,7756.0,Refund Completed
RET100048,ORD1000588,CUST103359,PROD10383,2025-05-30,Product not as expected,1092.0,Refund Completed
RET100049,ORD1000592,CUST109886,PROD10490,2025-10-26,Late delivery,3330.0,Approved
RET100050,ORD1000600,CUST101168,PROD10382,2023-05-21,Size issue,1190.0,Approved
RET100051,ORD1000635,CUST102306,PROD10047,2025-01-06,Size issue,31540.0,Refund Completed
RET100052,ORD1000635,CUST102306,PROD10231,2025-01-01,Size issue,5305.9,Refund Completed
RET100053,ORD1000655,CUST112360,PROD10343,2025-07-12,Changed mind,540.0,Refund Completed
RET100054,ORD1000693,CUST122843,PROD10066,2025-12-29,Quality issue,4428.0,Refund Completed
RET100055,ORD1000704,CUST115098,PROD10177,2025-10-23,Late delivery,0.0,Rejected
RET100056,ORD1000711,CUST106608,PROD10327,2025-11-13,Product damaged,1860.0,Refund Completed
RET100057,ORD1000718,CUST116992,PROD10403,2024-12-20,Changed mind,5846.4,Refund Completed
RET100058,ORD1000749,CUST119966,PROD10322,2025-11-17,Size issue,302.4,Refund Completed
RET100059,ORD1000759,CUST121707,PROD10367,2023-05-07,Changed mind,3368.7,Approved
RET100060,ORD1000764,CUST105203,PROD10231,2025-07-09,Size issue,0.0,Pending
RET100061,ORD1000764,CUST105203,PROD10203,2025-07-15,Changed mind,24840.0,Refund Completed
RET100062,ORD1000764,CUST105203,PROD10367,2025-07-13,Product damaged,0.0,Rejected
RET100063,ORD1000778,CUST104490,PROD10488,2023-12-30,Late delivery,2786.0,Refund Completed
RET100064,ORD1000778,CUST104490,PROD10324,2023-12-26,Changed mind,140.0,Refund Completed
RET100065,ORD1000782,CUST100686,PROD10010,2025-07-05,Product damaged,870.0,Refund Completed
RET100066,ORD1000793,CUST112168,PROD10548,2024-11-26,Late delivery,1379.0,Refund Completed
RET100067,ORD1000797,CUST116102,PROD10051,2025-12-10,Product not as expected,17822.0,Refund Completed
RET100068,ORD1000801,CUST119050,PROD10393,2023-09-23,Product not as expected,98.5,Approved
RET100069,ORD1000882,CUST100144,PROD10019,2024-12-10,Product not as expected,7595.1,Refund Completed
RET100070,ORD1000909,CUST100741,PROD10341,2024-05-05,Quality issue,2904.0,Refund Completed
RET100071,ORD1000934,CUST122684,PROD10335,2023-02-18,Late delivery,2226.0,Refund Completed
RET100072,ORD1000934,CUST122684,PROD10439,2023-02-17,Size issue,1911.0,Refund Completed
RET100073,ORD1000934,CUST122684,PROD10392,2023-02-23,Size issue,17323.65,Refund Completed
RET100074,ORD1000950,CUST123576,PROD10481,2024-06-03,Product damaged,10120.0,Refund Completed
RET100075,ORD1000954,CUST116791,PROD10367,2024-03-01,Quality issue,1596.0,Approved
RET100076,ORD1000967,CUST110386,PROD10051,2023-09-17,Late delivery,8442.0,Approved
RET100077,ORD1000970,CUST110656,PROD10216,2025-12-03,Changed mind,585.0,Refund Completed
RET100078,ORD1000978,CUST109862,PROD10063,2025-12-31,Late delivery,28730.0,Approved
RET100079,ORD1000985,CUST104256,PROD10282,2024-07-20,Product not as expected,13095.0,Refund Completed
RET100080,ORD1000997,CUST109856,PROD10431,2023-07-18,Late delivery,4137.4,Refund Completed
RET100081,ORD1001002,CUST106287,PROD10101,2024-07-24,Size issue,0.0,Pending
RET100082,ORD1001002,CUST106287,PROD10314,2024-08-01,Size issue,285.65,Refund Completed
RET100083,ORD1001047,CUST106386,PROD10011,2025-02-15,Changed mind,3457.35,Refund Completed
RET100084,ORD1001058,CUST119798,PROD10101,2025-10-06,Product not as expected,2106.0,Refund Completed
RET100085,ORD1001058,CUST119798,PROD10317,2025-10-04,Product not as expected,738.0,Refund Completed
RET100086,ORD1001058,CUST119798,PROD10023,2025-10-04,Quality issue,3204.0,Refund Completed
RET100087,ORD1001066,CUST119697,PROD10231,2025-06-03,Other,8752.0,Refund Completed
RET100088,ORD1001078,CUST108556,PROD10306,2023-08-13,Changed mind,60816.0,Refund Completed
RET100089,ORD1001078,CUST108556,PROD10129,2023-08-19,Quality issue,2408.0,Approved
RET100090,ORD1001078,CUST108556,PROD10432,2023-08-19,Size issue,0.0,Pending
RET100091,ORD1001080,CUST118526,PROD10445,2024-09-11,Quality issue,210226.8,Refund Completed
RET100092,ORD1001080,CUST118526,PROD10316,2024-09-19,Product not as expected,269.7,Refund Completed
RET100093,ORD1001080,CUST118526,PROD10499,2024-09-13,Product damaged,279.0,Refund Completed
RET100094,ORD1001085,CUST103979,PROD10469,2024-08-02,Changed mind,242.5,Approved
RET100095,ORD1001088,CUST120747,PROD10417,2024-01-03,Wrong product,3960.0,Refund Completed
RET100096,ORD1001090,CUST111020,PROD10171,2025-05-14,Product not as expected,0.0,Rejected
RET100097,ORD1001100,CUST111852,PROD10135,2025-11-18,Quality issue,3840.0,Refund Completed
RET100098,ORD1001100,CUST111852,PROD10031,2025-11-16,Late delivery,3102.75,Refund Completed
RET100099,ORD1001152,CUST113335,PROD10279,2025-06-18,Changed mind,2033.0,Refund Completed
RET100100,ORD1001152,CUST113335,PROD10333,2025-06-16,Changed mind,39625.3,Refund Completed
RET100101,ORD1001152,CUST113335,PROD10255,2025-06-22,Product not as expected,532.95,Refund Completed
RET100102,ORD1001160,CUST108735,PROD10078,2025-12-29,Product damaged,790.0,Refund Completed
RET100103,ORD1001164,CUST113231,PROD10231,2024-07-21,Size issue,10228.9,Refund Completed
RET100104,ORD1001164,CUST113231,PROD10341,2024-07-23,Product not as expected,3448.5,Refund Completed
RET100105,ORD1001171,CUST123477,PROD10484,2023-06-10,Size issue,7308.0,Approved
RET100106,ORD1001190,CUST111105,PROD10469,2023-08-04,Product damaged,500.0,Refund Completed
RET100107,ORD1001194,CUST102248,PROD10495,2025-04-23,Product not as expected,63156.0,Refund Completed
RET100108,ORD1001224,CUST109038,PROD10367,2025-07-12,Changed mind,1710.0,Refund Completed
RET100109,ORD1001225,CUST104961,PROD10341,2024-01-11,Late delivery,3557.4,Approved
RET100110,ORD1001230,CUST108646,PROD10007,2024-11-02,Late delivery,1309.5,Refund Completed
RET100111,ORD1001236,CUST115979,PROD10403,2023-10-23,Other,5785.5,Refund Completed
RET100112,ORD1001239,CUST123917,PROD10341,2025-01-05,Quality issue,0.0,Rejected
RET100113,ORD1001239,CUST123917,PROD10366,2025-01-11,Product damaged,541.2,Refund Completed
RET100114,ORD1001243,CUST114805,PROD10282,2023-05-24,Late delivery,11290.8,Refund Completed
RET100115,ORD1001243,CUST114805,PROD10231,2023-05-22,Quality issue,16410.0,Refund Completed
RET100116,ORD1001258,CUST106110,PROD10382,2024-01-14,Wrong product,584.5,Approved
RET100117,ORD1001263,CUST112143,PROD10509,2025-11-15,Product not as expected,3573.8,Refund Completed
RET100118,ORD1001263,CUST112143,PROD10341,2025-11-17,Quality issue,5142.5,Refund Completed
RET100119,ORD1001263,CUST112143,PROD10335,2025-11-08,Wrong product,901.0,Refund Completed
RET100120,ORD1001263,CUST112143,PROD10413,2025-11-09,Size issue,4024.7,Approved
RET100121,ORD1001271,CUST109359,PROD10194,2025-04-24,Product damaged,30894.0,Refund Completed
RET100122,ORD1001279,CUST117909,PROD10210,2025-09-23,Product damaged,1159.0,Approved
RET100123,ORD1001288,CUST103777,PROD10415,2025-01-03,Size issue,2263.2,Refund Completed
RET100124,ORD1001288,CUST103777,PROD10341,2025-01-06,Quality issue,6897.0,Refund Completed
RET100125,ORD1001297,CUST108896,PROD10210,2025-10-28,Product not as expected,1220.0,Refund Completed
RET100126,ORD1001297,CUST108896,PROD10148,2025-10-28,Changed mind,5150.0,Refund Completed
RET100127,ORD1001297,CUST108896,PROD10207,2025-10-20,Quality issue,930.0,Refund Completed
RET100128,ORD1001325,CUST122599,PROD10174,2025-04-30,Changed mind,3444.0,Refund Completed
RET100129,ORD1001334,CUST111368,PROD10322,2024-02-17,Changed mind,224.0,Refund Completed
RET100130,ORD1001334,CUST111368,PROD10269,2024-02-13,Wrong product,288.0,Refund Completed
RET100131,ORD1001343,CUST105653,PROD10031,2025-03-18,Other,2677.5,Refund Completed
RET100132,ORD1001373,CUST114257,PROD10327,2024-12-03,Product damaged,3162.0,Approved
RET100133,ORD1001376,CUST119050,PROD10403,2024-03-25,Changed mind,3735.2,Refund Completed
RET100134,ORD1001393,CUST119924,PROD10415,2023-11-07,Changed mind,3690.0,Refund Completed
RET100135,ORD1001397,CUST109565,PROD10362,2024-04-17,Size issue,12959.1,Refund Completed
RET100136,ORD1001400,CUST120048,PROD10459,2024-11-19,Other,7599.0,Approved
RET100137,ORD1001410,CUST115116,PROD10365,2025-10-21,Late delivery,1440.0,Refund Completed
RET100138,ORD1001414,CUST106380,PROD10314,2025-03-22,Changed mind,0.0,Rejected
RET100139,ORD1001445,CUST105684,PROD10469,2024-10-30,Changed mind,0.0,Pending
RET100140,ORD1001456,CUST117006,PROD10230,2024-08-23,Changed mind,0.0,Pending
RET100141,ORD1001458,CUST123662,PROD10019,2025-11-01,Size issue,5529.0,Approved
RET100142,ORD1001469,CUST119533,PROD10051,2025-12-31,Size issue,3986.5,Refund Completed
RET100143,ORD1001495,CUST116974,PROD10365,2023-04-03,Changed mind,241.2,Refund Completed
RET100144,ORD1001511,CUST119739,PROD10019,2025-08-24,Quality issue,5732.7,Approved
RET100145,ORD1001511,CUST119739,PROD10098,2025-08-29,Size issue,600.0,Refund Completed
RET100146,ORD1001520,CUST110968,PROD10129,2025-07-03,Other,4515.0,Refund Completed
RET100147,ORD1001520,CUST110968,PROD10231,2025-07-11,Product not as expected,7876.8,Refund Completed
RET100148,ORD1001522,CUST121811,PROD10231,2024-04-11,Product damaged,19692.0,Refund Completed
RET100149,ORD1001564,CUST117306,PROD10341,2023-10-20,Quality issue,828.85,Refund Completed
RET100150,ORD1001577,CUST113697,PROD10280,2024-02-02,Product not as expected,0.0,Rejected
RET100151,ORD1001577,CUST113697,PROD10207,2024-02-05,Other,837.0,Refund Completed
RET100152,ORD1001577,CUST113697,PROD10378,2024-02-09,Other,1809.0,Refund Completed
RET100153,ORD1001581,CUST114485,PROD10367,2025-03-16,Size issue,1824.0,Refund Completed
RET100154,ORD1001581,CUST114485,PROD10152,2025-03-17,Late delivery,13152.0,Approved
RET100155,ORD1001596,CUST103382,PROD10214,2023-12-20,Size issue,1065.9,Refund Completed
RET100156,ORD1001600,CUST118431,PROD10366,2025-11-14,Quality issue,330.0,Refund Completed
RET100157,ORD1001623,CUST109557,PROD10021,2025-03-10,Product not as expected,2565.0,Refund Completed
RET100158,ORD1001631,CUST109257,PROD10051,2024-02-06,Product damaged,7973.0,Refund Completed
RET100159,ORD1001647,CUST112687,PROD10202,2023-12-02,Product damaged,4600.0,Approved
RET100160,ORD1001650,CUST112022,PROD10246,2025-09-25,Changed mind,168427.5,Refund Completed
RET100161,ORD1001651,CUST100083,PROD10072,2023-04-22,Product not as expected,11131.2,Refund Completed
RET100162,ORD1001686,CUST113077,PROD10124,2025-05-05,Changed mind,756.0,Refund Completed
RET100163,ORD1001699,CUST112361,PROD10548,2024-04-29,Wrong product,1400.0,Refund Completed
RET100164,ORD1001699,CUST112361,PROD10065,2024-05-07,Changed mind,0.0,Rejected
RET100165,ORD1001711,CUST107960,PROD10112,2025-10-25,Size issue,849.4,Refund Completed
RET100166,ORD1001711,CUST107960,PROD10432,2025-10-27,Product not as expected,124047.0,Refund Completed
RET100167,ORD1001736,CUST106677,PROD10180,2024-02-28,Changed mind,6867.6,Refund Completed
RET100168,ORD1001741,CUST122923,PROD10341,2025-03-25,Changed mind,0.0,Rejected
RET100169,ORD1001742,CUST104543,PROD10353,2024-08-12,Wrong product,247.5,Refund Completed
RET100170,ORD1001748,CUST113205,PROD10403,2023-06-16,Changed mind,4060.0,Refund Completed
RET100171,ORD1001758,CUST101926,PROD10403,2025-12-31,Late delivery,1898.05,Refund Completed
RET100172,ORD1001758,CUST101926,PROD10370,2025-12-31,Changed mind,1352.4,Refund Completed
RET100173,ORD1001758,CUST101926,PROD10304,2025-12-31,Wrong product,2704.8,Refund Completed
RET100174,ORD1001770,CUST109026,PROD10301,2023-11-15,Changed mind,72157.5,Refund Completed
RET100175,ORD1001827,CUST123654,PROD10382,2024-11-08,Size issue,644.0,Refund Completed
RET100176,ORD1001827,CUST123654,PROD10481,2024-11-10,Wrong product,14421.0,Refund Completed
RET100177,ORD1001828,CUST124829,PROD10209,2025-04-06,Wrong product,1037.0,Refund Completed
RET100178,ORD1001828,CUST124829,PROD10403,2025-04-04,Product not as expected,0.0,Rejected
RET100179,ORD1001837,CUST121890,PROD10417,2023-02-19,Changed mind,4752.0,Approved
RET100180,ORD1001838,CUST121794,PROD10304,2025-12-25,Changed mind,0.0,Pending
RET100181,ORD1001838,CUST121794,PROD10403,2025-12-16,Wrong product,3126.2,Approved
RET100182,ORD1001840,CUST101776,PROD10239,2025-06-02,Product damaged,0.0,Pending
RET100183,ORD1001841,CUST100519,PROD10060,2023-11-04,Wrong product,248.0,Refund Completed
RET100184,ORD1001844,CUST118476,PROD10246,2025-09-05,Changed mind,198150.0,Refund Completed
RET100185,ORD1001844,CUST118476,PROD10242,2025-08-31,Changed mind,2712.15,Refund Completed
RET100186,ORD1001853,CUST124826,PROD10078,2023-10-09,Late delivery,2480.6,Refund Completed
RET100187,ORD1001858,CUST100295,PROD10392,2025-03-07,Late delivery,18208.8,Refund Completed
RET100188,ORD1001882,CUST118883,PROD10279,2024-04-02,Product damaged,1572.9,Refund Completed
RET100189,ORD1001882,CUST118883,PROD10035,2024-03-28,Size issue,2307.9,Refund Completed
RET100190,ORD1001888,CUST120475,PROD10101,2025-11-15,Size issue,1638.0,Refund Completed
RET100191,ORD1001888,CUST120475,PROD10067,2025-11-09,Product damaged,1596.0,Refund Completed
RET100192,ORD1001888,CUST120475,PROD10403,2025-11-17,Product damaged,2781.1,Refund Completed
RET100193,ORD1001892,CUST104081,PROD10121,2023-12-28,Changed mind,1134.0,Refund Completed
RET100194,ORD1001892,CUST104081,PROD10169,2023-12-30,Wrong product,231.0,Refund Completed
RET100195,ORD1001898,CUST103894,PROD10367,2025-06-11,Product not as expected,2736.0,Refund Completed
RET100196,ORD1001935,CUST121022,PROD10434,2024-11-10,Wrong product,0.0,Rejected
RET100197,ORD1001962,CUST102755,PROD10246,2023-08-29,Changed mind,188242.5,Refund Completed
RET100198,ORD1001962,CUST102755,PROD10101,2023-09-02,Wrong product,741.0,Refund Completed
RET100199,ORD1001995,CUST112674,PROD10366,2024-07-14,Product not as expected,1016.4,Refund Completed
RET100200,ORD1002013,CUST111169,PROD10153,2024-03-21,Product damaged,8316.0,Refund Completed
RET100201,ORD1002013,CUST111169,PROD10176,2024-03-20,Late delivery,16254.0,Refund Completed
RET100202,ORD1002081,CUST115935,PROD10454,2023-04-26,Quality issue,1152.0,Approved
RET100203,ORD1002099,CUST114422,PROD10490,2025-11-02,Product damaged,1110.0,Refund Completed
RET100204,ORD1002099,CUST114422,PROD10432,2025-10-28,Wrong product,174551.85,Refund Completed
RET100205,ORD1002099,CUST114422,PROD10077,2025-10-30,Changed mind,3900.0,Refund Completed
RET100206,ORD1002100,CUST107407,PROD10254,2025-12-27,Quality issue,1159.4,Refund Completed
RET100207,ORD1002134,CUST104888,PROD10294,2024-05-07,Size issue,0.0,Rejected
RET100208,ORD1002172,CUST106572,PROD10392,2023-12-15,Product damaged,6322.5,Refund Completed
RET100209,ORD1002173,CUST121629,PROD10179,2023-04-03,Product not as expected,3792.7,Refund Completed
RET100210,ORD1002184,CUST120164,PROD10051,2024-11-19,Changed mind,11256.0,Refund Completed
RET100211,ORD1002197,CUST122106,PROD10489,2023-04-25,Changed mind,1566.0,Refund Completed
RET100212,ORD1002201,CUST108451,PROD10236,2025-05-26,Quality issue,17904.0,Refund Completed
RET100213,ORD1002201,CUST108451,PROD10322,2025-05-23,Quality issue,0.0,Pending
RET100214,ORD1002211,CUST124758,PROD10488,2023-10-08,Wrong product,1393.0,Refund Completed
RET100215,ORD1002211,CUST124758,PROD10211,2023-10-10,Product not as expected,336.0,Refund Completed
RET100216,ORD1002230,CUST116245,PROD10078,2024-09-07,Changed mind,632.0,Refund Completed
RET100217,ORD1002230,CUST116245,PROD10202,2024-09-07,Quality issue,1840.0,Refund Completed
RET100218,ORD1002231,CUST106756,PROD10221,2025-11-27,Size issue,2220.0,Refund Completed
RET100219,ORD1002245,CUST117010,PROD10007,2025-11-27,Changed mind,1620.0,Refund Completed
RET100220,ORD1002246,CUST106890,PROD10031,2025-01-15,Product damaged,9308.25,Refund Completed
RET100221,ORD1002247,CUST100579,PROD10246,2024-05-19,Product damaged,130118.5,Refund Completed
RET100222,ORD1002258,CUST123853,PROD10341,2025-12-31,Product damaged,3158.1,Refund Completed
RET100223,ORD1002259,CUST103153,PROD10367,2025-03-12,Quality issue,2097.6,Refund Completed
RET100224,ORD1002291,CUST120062,PROD10308,2025-06-01,Quality issue,1050.0,Refund Completed
RET100225,ORD1002291,CUST120062,PROD10499,2025-05-28,Size issue,610.7,Refund Completed
RET100226,ORD1002296,CUST113783,PROD10119,2024-10-26,Wrong product,0.0,Pending
RET100227,ORD1002311,CUST102071,PROD10051,2024-12-13,Changed mind,0.0,Pending
RET100228,ORD1002317,CUST124712,PROD10525,2024-01-07,Product not as expected,1280.0,Refund Completed
RET100229,ORD1002326,CUST103946,PROD10239,2025-03-30,Late delivery,0.0,Pending
RET100230,ORD1002340,CUST101860,PROD10436,2025-12-08,Wrong product,804.1,Refund Completed
RET100231,ORD1002342,CUST121199,PROD10214,2023-09-15,Late delivery,877.8,Refund Completed
RET100232,ORD1002354,CUST120270,PROD10051,2024-09-15,Product not as expected,4221.0,Refund Completed
RET100233,ORD1002355,CUST107797,PROD10112,2023-11-17,Product damaged,1078.8,Approved
RET100234,ORD1002359,CUST105616,PROD10366,2025-11-01,Other,0.0,Rejected
RET100235,ORD1002366,CUST108011,PROD10112,2025-09-25,Late delivery,2480.0,Refund Completed
RET100236,ORD1002370,CUST116625,PROD10452,2023-07-22,Changed mind,799.0,Refund Completed
RET100237,ORD1002385,CUST123863,PROD10131,2024-12-24,Size issue,4980.0,Refund Completed
RET100238,ORD1002385,CUST123863,PROD10015,2024-12-19,Product not as expected,76096.5,Approved
RET100239,ORD1002385,CUST123863,PROD10380,2024-12-19,Size issue,76770.9,Refund Completed
RET100240,ORD1002387,CUST119440,PROD10225,2024-10-23,Size issue,345.4,Refund Completed
RET100241,ORD1002387,CUST119440,PROD10488,2024-10-25,Size issue,3184.0,Refund Completed
RET100242,ORD1002392,CUST123170,PROD10488,2025-10-28,Product damaged,0.0,Pending
RET100243,ORD1002392,CUST123170,PROD10099,2025-10-31,Changed mind,580.0,Approved
RET100244,ORD1002397,CUST104339,PROD10366,2024-05-17,Size issue,0.0,Pending
RET100245,ORD1002440,CUST117949,PROD10341,2024-10-15,Wrong product,2262.7,Refund Completed
RET100246,ORD1002445,CUST114032,PROD10073,2025-11-09,Product damaged,1224.0,Refund Completed
RET100247,ORD1002445,CUST114032,PROD10236,2025-11-03,Changed mind,19806.3,Refund Completed
RET100248,ORD1002445,CUST114032,PROD10436,2025-10-30,Size issue,1548.0,Refund Completed
RET100249,ORD1002445,CUST114032,PROD10231,2025-10-30,Size issue,0.0,Rejected
RET100250,ORD1002445,CUST114032,PROD10152,2025-11-08,Other,11097.0,Refund Completed
RET100251,ORD1002450,CUST105016,PROD10403,2023-10-28,Changed mind,1898.05,Refund Completed
RET100252,ORD1002450,CUST105016,PROD10258,2023-10-20,Product not as expected,5700.0,Refund Completed
RET100253,ORD1002454,CUST101980,PROD10129,2024-05-05,Changed mind,5628.7,Refund Completed
RET100254,ORD1002461,CUST116194,PROD10454,2025-12-31,Quality issue,1418.4,Refund Completed
RET100255,ORD1002475,CUST108079,PROD10021,2025-10-01,Product not as expected,665.0,Refund Completed
RET100256,ORD1002481,CUST106363,PROD10536,2025-08-11,Size issue,1575.0,Refund Completed
RET100257,ORD1002522,CUST114849,PROD10376,2023-03-03,Quality issue,5461.1,Refund Completed
RET100258,ORD1002530,CUST120936,PROD10363,2024-08-08,Product damaged,0.0,Pending
RET100259,ORD1002530,CUST120936,PROD10397,2024-08-05,Late delivery,42415.0,Approved
RET100260,ORD1002538,CUST108458,PROD10341,2023-04-30,Changed mind,847.0,Approved
RET100261,ORD1002538,CUST108458,PROD10271,2023-05-05,Changed mind,4932.0,Refund Completed
RET100262,ORD1002539,CUST104907,PROD10050,2023-11-24,Product not as expected,0.0,Rejected
RET100263,ORD1002549,CUST106698,PROD10225,2024-09-10,Product damaged,360.8,Refund Completed
RET100264,ORD1002556,CUST108815,PROD10409,2025-05-14,Size issue,1840.3,Refund Completed
RET100265,ORD1002596,CUST105438,PROD10171,2024-12-06,Late delivery,1009.2,Approved
RET100266,ORD1002596,CUST105438,PROD10392,2024-12-02,Late delivery,0.0,Rejected
RET100267,ORD1002625,CUST100345,PROD10348,2025-06-30,Wrong product,10194.8,Refund Completed
RET100268,ORD1002625,CUST100345,PROD10246,2025-06-24,Changed mind,158520.0,Refund Completed
RET100269,ORD1002638,CUST123738,PROD10021,2024-11-06,Changed mind,1463.0,Refund Completed
RET100270,ORD1002645,CUST104848,PROD10548,2024-04-04,Size issue,938.0,Approved
RET100271,ORD1002692,CUST113568,PROD10078,2023-11-28,Changed mind,1161.3,Refund Completed
RET100272,ORD1002695,CUST101383,PROD10469,2024-01-03,Wrong product,460.0,Refund Completed
RET100273,ORD1002762,CUST120354,PROD10483,2025-12-02,Changed mind,18560.0,Refund Completed
RET100274,ORD1002769,CUST124499,PROD10215,2025-07-10,Quality issue,3434.2,Refund Completed
RET100275,ORD1002777,CUST100138,PROD10124,2024-10-02,Product not as expected,896.0,Refund Completed
RET100276,ORD1002792,CUST117086,PROD10488,2025-08-04,Size issue,3064.6,Refund Completed
RET100277,ORD1002804,CUST123118,PROD10454,2025-06-08,Size issue,1224.0,Refund Completed
RET100278,ORD1002804,CUST123118,PROD10134,2025-06-15,Quality issue,0.0,Rejected
RET100279,ORD1002806,CUST111206,PROD10341,2025-06-26,Wrong product,0.0,Pending
RET100280,ORD1002817,CUST114912,PROD10531,2025-09-18,Quality issue,6260.0,Approved
RET100281,ORD1002825,CUST122941,PROD10374,2025-07-07,Size issue,776.55,Refund Completed
RET100282,ORD1002827,CUST100497,PROD10403,2023-07-02,Late delivery,5846.4,Refund Completed
RET100283,ORD1002835,CUST124792,PROD10362,2025-10-03,Product not as expected,11781.0,Refund Completed
RET100284,ORD1002835,CUST124792,PROD10469,2025-10-08,Wrong product,205.0,Refund Completed
RET100285,ORD1002867,CUST118012,PROD10481,2025-11-13,Product damaged,8602.0,Refund Completed
RET100286,ORD1002882,CUST114044,PROD10110,2024-04-07,Product damaged,287.7,Refund Completed
RET100287,ORD1002887,CUST115697,PROD10169,2025-09-14,Product damaged,0.0,Rejected
RET100288,ORD1002887,CUST115697,PROD10322,2025-09-15,Size issue,205.8,Refund Completed
RET100289,ORD1002891,CUST105680,PROD10003,2025-09-29,Product damaged,7781.6,Refund Completed
RET100290,ORD1002904,CUST110393,PROD10327,2023-09-07,Quality issue,3664.2,Refund Completed
