review_id,order_id,customer_id,product_id,review_date,rating,review_sentiment,verified_purchase
REV100032,ORD1000040,CUST105019,PROD10484,2025-10-03,4,Positive,True
REV100033,ORD1000040,CUST105019,PROD10255,2025-10-21,4,Positive,True
REV100034,ORD1000043,CUST118894,PROD10246,2024-11-09,3,Neutral,True
REV100035,ORD1000045,CUST113600,PROD10367,2024-08-06,5,Positive,True
REV100036,ORD1000045,CUST113600,PROD10210,2024-08-02,4,Positive,True
REV100037,ORD1000047,CUST117836,PROD10198,2023-11-28,5,Positive,True
REV100038,ORD1000048,CUST104492,PROD10510,2025-08-15,4,Positive,True
REV100039,ORD1000048,CUST104492,PROD10051,2025-07-28,5,Positive,True
REV100040,ORD1000049,CUST123606,PROD10035,2025-12-31,3,Neutral,True
REV100041,ORD1000049,CUST123606,PROD10129,2025-12-31,3,Neutral,True
REV100042,ORD1000050,CUST100273,PROD10152,2025-11-13,2,Negative,True
REV100043,ORD1000051,CUST117105,PROD10293,2023-09-08,4,Positive,True
REV100044,ORD1000051,CUST117105,PROD10311,2023-08-26,3,Neutral,True
REV100045,ORD1000053,CUST120452,PROD10035,2023-08-17,5,Positive,True
REV100046,ORD1000055,CUST123594,PROD10347,2024-11-27,3,Neutral,True
REV100047,ORD1000059,CUST111974,PROD10117,2023-09-01,4,Positive,True
REV100048,ORD1000059,CUST111974,PROD10433,2023-09-06,4,Positive,True
REV100049,ORD1000062,CUST111536,PROD10218,2025-12-11,5,Positive,True
REV100050,ORD1000062,CUST111536,PROD10233,2025-12-10,4,Positive,True
REV100051,ORD1000064,CUST124946,PROD10351,2024-03-25,4,Positive,True
REV100052,ORD1000064,CUST124946,PROD10488,2024-03-18,3,Neutral,True
REV100053,ORD1000064,CUST124946,PROD10279,2024-03-11,4,Positive,True
REV100054,ORD1000065,CUST123057,PROD10148,2024-12-10,4,Positive,True
REV100055,ORD1000068,CUST103001,PROD10417,2025-11-18,5,Positive,True
REV100056,ORD1000069,CUST102470,PROD10339,2024-11-28,3,Neutral,True
REV100057,ORD1000069,CUST102470,PROD10468,2024-11-15,5,Positive,True
REV100058,ORD1000075,CUST102107,PROD10403,2025-11-09,5,Positive,True
REV100059,ORD1000076,CUST105289,PROD10203,2025-08-13,3,Neutral,True
REV100060,ORD1000076,CUST105289,PROD10312,2025-08-31,5,Positive,True
REV100061,ORD1000077,CUST111941,PROD10343,2023-07-24,5,Positive,True
REV100062,ORD1000078,CUST107376,PROD10418,2025-04-12,3,Neutral,True
REV100063,ORD1000080,CUST114031,PROD10030,2025-08-22,3,Neutral,True
REV100064,ORD1000082,CUST122341,PROD10509,2024-12-29,4,Positive,True
REV100065,ORD1000082,CUST122341,PROD10011,2024-12-20,5,Positive,True
REV100066,ORD1000083,CUST113222,PROD10524,2025-11-25,4,Positive,True
REV100067,ORD1000084,CUST119706,PROD10473,2025-01-19,5,Positive,True
REV100068,ORD1000084,CUST119706,PROD10490,2025-02-04,4,Positive,True
REV100069,ORD1000085,CUST118137,PROD10101,2025-12-08,4,Positive,True
REV100070,ORD1000087,CUST112739,PROD10510,2025-06-26,3,Neutral,True
REV100071,ORD1000090,CUST105809,PROD10142,2024-12-09,4,Positive,True
REV100072,ORD1000090,CUST105809,PROD10051,2024-12-11,2,Negative,True
REV100073,ORD1000094,CUST118728,PROD10148,2024-04-23,4,Positive,True
REV100074,ORD1000095,CUST109013,PROD10136,2023-06-04,5,Positive,True
REV100075,ORD1000096,CUST103202,PROD10528,2023-08-07,4,Positive,True
REV100076,ORD1000098,CUST114533,PROD10211,2025-10-20,5,Positive,True
REV100077,ORD1000098,CUST114533,PROD10118,2025-10-03,5,Positive,True
REV100078,ORD1000099,CUST123167,PROD10341,2023-03-23,3,Neutral,True
REV100079,ORD1000100,CUST116054,PROD10299,2023-10-13,3,Neutral,True
REV100080,ORD1000102,CUST120907,PROD10341,2025-03-26,4,Positive,True
REV100081,ORD1000102,CUST120907,PROD10317,2025-03-28,4,Positive,True
REV100082,ORD1000103,CUST122090,PROD10379,2025-06-06,4,Positive,True
REV100083,ORD1000105,CUST120941,PROD10164,2025-08-27,5,Positive,True
REV100084,ORD1000105,CUST120941,PROD10510,2025-08-24,3,Neutral,True
REV100085,ORD1000107,CUST124402,PROD10374,2024-05-18,5,Positive,True
REV100086,ORD1000108,CUST107950,PROD10341,2025-12-09,4,Positive,True
REV100087,ORD1000108,CUST107950,PROD10137,2025-12-19,4,Positive,True
REV100088,ORD1000109,CUST112876,PROD10040,2023-06-25,5,Positive,True
REV100089,ORD1000111,CUST123764,PROD10528,2025-10-16,4,Positive,True
REV100090,ORD1000114,CUST118780,PROD10092,2025-04-26,2,Negative,True
REV100091,ORD1000114,CUST118780,PROD10368,2025-04-23,5,Positive,True
REV100092,ORD1000117,CUST103511,PROD10525,2023-10-01,3,Neutral,True
REV100093,ORD1000119,CUST108012,PROD10031,2025-10-28,5,Positive,True
REV100094,ORD1000119,CUST108012,PROD10432,2025-10-18,3,Neutral,True
REV100095,ORD1000121,CUST107600,PROD10392,2025-04-11,4,Positive,True
REV100096,ORD1000122,CUST108162,PROD10392,2024-12-10,3,Neutral,True
REV100097,ORD1000124,CUST123551,PROD10203,2024-06-12,2,Negative,True
REV100098,ORD1000124,CUST123551,PROD10458,2024-06-15,3,Neutral,True
REV100099,ORD1000125,CUST104747,PROD10322,2023-12-03,5,Positive,True
REV100100,ORD1000126,CUST107626,PROD10101,2025-12-22,3,Neutral,True
REV100101,ORD1000126,CUST107626,PROD10549,2025-12-10,4,Positive,True
REV100102,ORD1000129,CUST108804,PROD10305,2025-07-26,3,Neutral,True
REV100103,ORD1000130,CUST106293,PROD10501,2024-05-08,3,Neutral,True
REV100104,ORD1000133,CUST114971,PROD10231,2023-09-17,4,Positive,True
REV100105,ORD1000133,CUST114971,PROD10379,2023-09-21,4,Positive,True
REV100106,ORD1000135,CUST100244,PROD10149,2023-04-26,3,Neutral,True
REV100107,ORD1000135,CUST100244,PROD10128,2023-04-24,2,Negative,True
REV100108,ORD1000137,CUST101109,PROD10399,2023-09-03,4,Positive,True
REV100109,ORD1000137,CUST101109,PROD10089,2023-09-11,4,Positive,True
REV100110,ORD1000139,CUST114018,PROD10211,2025-12-31,4,Positive,True
REV100111,ORD1000140,CUST106920,PROD10510,2023-03-30,3,Neutral,True
REV100112,ORD1000140,CUST106920,PROD10268,2023-04-06,4,Positive,True
REV100113,ORD1000141,CUST120931,PROD10317,2025-01-20,5,Positive,True
REV100114,ORD1000141,CUST120931,PROD10024,2024-12-31,5,Positive,True
REV100115,ORD1000142,CUST122116,PROD10216,2025-12-06,4,Positive,True
REV100116,ORD1000143,CUST116642,PROD10255,2025-10-30,4,Positive,True
REV100117,ORD1000144,CUST115309,PROD10373,2023-11-27,4,Positive,True
REV100118,ORD1000144,CUST115309,PROD10367,2023-12-05,5,Positive,True
REV100119,ORD1000148,CUST106125,PROD10098,2025-08-13,4,Positive,True
REV100120,ORD1000151,CUST124129,PROD10072,2023-03-12,5,Positive,True
REV100121,ORD1000151,CUST124129,PROD10118,2023-03-12,4,Positive,True
REV100122,ORD1000152,CUST123327,PROD10135,2025-12-01,5,Positive,True
REV100123,ORD1000156,CUST101127,PROD10255,2024-03-06,4,Positive,True
REV100124,ORD1000157,CUST104169,PROD10366,2024-05-10,4,Positive,True
REV100125,ORD1000158,CUST108150,PROD10343,2023-12-02,1,Negative,True
REV100126,ORD1000161,CUST108387,PROD10078,2024-06-13,4,Positive,True
REV100127,ORD1000162,CUST116562,PROD10203,2025-07-18,5,Positive,True
REV100128,ORD1000163,CUST116093,PROD10101,2024-09-11,5,Positive,True
REV100129,ORD1000164,CUST101164,PROD10293,2023-11-13,5,Positive,True
REV100130,ORD1000164,CUST101164,PROD10429,2023-11-23,3,Neutral,True
REV100131,ORD1000165,CUST105047,PROD10071,2024-11-06,4,Positive,True
REV100132,ORD1000165,CUST105047,PROD10088,2024-11-14,4,Positive,True
REV100133,ORD1000166,CUST111605,PROD10316,2025-11-10,3,Neutral,True
REV100134,ORD1000167,CUST124640,PROD10155,2023-12-29,4,Positive,True
REV100135,ORD1000168,CUST112125,PROD10183,2025-12-02,3,Neutral,True
REV100136,ORD1000168,CUST112125,PROD10304,2025-11-20,3,Neutral,True
REV100137,ORD1000171,CUST108361,PROD10322,2024-02-14,3,Neutral,True
REV100138,ORD1000171,CUST108361,PROD10414,2024-02-05,2,Negative,True
REV100139,ORD1000172,CUST105918,PROD10112,2024-09-02,5,Positive,True
REV100140,ORD1000174,CUST117360,PROD10181,2024-12-16,5,Positive,True
REV100141,ORD1000175,CUST123242,PROD10343,2023-04-19,4,Positive,True
REV100142,ORD1000176,CUST117309,PROD10093,2025-03-28,3,Neutral,True
REV100143,ORD1000177,CUST114906,PROD10031,2025-12-19,4,Positive,True
REV100144,ORD1000177,CUST114906,PROD10442,2025-11-29,4,Positive,True
REV100145,ORD1000179,CUST101829,PROD10172,2025-01-04,4,Positive,True
REV100146,ORD1000180,CUST121465,PROD10217,2025-12-31,4,Positive,True
REV100147,ORD1000181,CUST101906,PROD10375,2025-12-29,4,Positive,True
REV100148,ORD1000181,CUST101906,PROD10018,2025-12-15,2,Negative,True
REV100149,ORD1000181,CUST101906,PROD10367,2025-12-21,4,Positive,True
REV100150,ORD1000186,CUST103917,PROD10246,2024-05-04,3,Neutral,True
REV100151,ORD1000188,CUST118585,PROD10267,2023-12-03,5,Positive,True
REV100152,ORD1000189,CUST111343,PROD10081,2025-10-27,3,Neutral,True
REV100153,ORD1000191,CUST108871,PROD10333,2023-08-30,3,Neutral,True
REV100154,ORD1000194,CUST122811,PROD10440,2023-12-18,3,Neutral,True
REV100155,ORD1000195,CUST107970,PROD10255,2025-12-31,5,Positive,True
REV100156,ORD1000200,CUST123314,PROD10042,2024-06-26,3,Neutral,True
REV100157,ORD1000200,CUST123314,PROD10124,2024-07-10,1,Negative,True
REV100158,ORD1000206,CUST107629,PROD10101,2025-07-25,5,Positive,True
REV100159,ORD1000208,CUST117918,PROD10411,2024-01-16,4,Positive,True
REV100160,ORD1000208,CUST117918,PROD10315,2023-12-26,4,Positive,False
REV100161,ORD1000209,CUST118340,PROD10236,2023-04-03,3,Neutral,True
REV100162,ORD1000212,CUST104577,PROD10142,2024-11-22,5,Positive,True
REV100163,ORD1000214,CUST107475,PROD10221,2024-10-25,5,Positive,True
REV100164,ORD1000216,CUST103222,PROD10473,2023-06-13,4,Positive,True
REV100165,ORD1000217,CUST119887,PROD10488,2025-10-07,3,Neutral,True
REV100166,ORD1000219,CUST117107,PROD10266,2025-11-27,3,Neutral,True
REV100167,ORD1000223,CUST117396,PROD10469,2024-06-19,4,Positive,True
REV100168,ORD1000226,CUST109022,PROD10211,2025-09-27,2,Negative,True
REV100169,ORD1000227,CUST103604,PROD10385,2024-12-29,4,Positive,True
REV100170,ORD1000227,CUST103604,PROD10158,2025-01-03,5,Positive,True
REV100171,ORD1000227,CUST103604,PROD10125,2025-01-21,3,Neutral,False
REV100172,ORD1000227,CUST103604,PROD10538,2025-01-19,3,Neutral,True
REV100173,ORD1000230,CUST112536,PROD10051,2025-03-21,3,Neutral,True
REV100174,ORD1000232,CUST104657,PROD10527,2025-10-23,4,Positive,True
REV100175,ORD1000234,CUST113266,PROD10503,2023-05-13,5,Positive,True
REV100176,ORD1000235,CUST112241,PROD10245,2024-04-29,4,Positive,True
REV100177,ORD1000237,CUST102567,PROD10280,2025-05-03,3,Neutral,True
REV100178,ORD1000237,CUST102567,PROD10051,2025-04-28,4,Positive,True
REV100179,ORD1000240,CUST122518,PROD10490,2023-05-26,3,Neutral,True
REV100180,ORD1000241,CUST120243,PROD10150,2025-10-03,4,Positive,True
REV100181,ORD1000242,CUST104866,PROD10169,2024-06-21,4,Positive,True
REV100182,ORD1000244,CUST123553,PROD10231,2025-02-09,4,Positive,True
REV100183,ORD1000247,CUST124887,PROD10153,2023-02-16,3,Neutral,True
REV100184,ORD1000247,CUST124887,PROD10198,2023-02-09,4,Positive,False
REV100185,ORD1000248,CUST117181,PROD10417,2025-09-14,2,Negative,True
REV100186,ORD1000249,CUST122555,PROD10252,2025-06-08,3,Neutral,True
REV100187,ORD1000251,CUST116359,PROD10168,2025-11-11,4,Positive,True
REV100188,ORD1000254,CUST101818,PROD10147,2025-11-23,3,Neutral,True
REV100189,ORD1000256,CUST105529,PROD10153,2023-06-18,4,Positive,True
REV100190,ORD1000256,CUST105529,PROD10051,2023-07-04,3,Neutral,True
REV100191,ORD1000259,CUST124123,PROD10517,2025-02-09,3,Neutral,True
REV100192,ORD1000259,CUST124123,PROD10529,2025-02-16,4,Positive,True
REV100193,ORD1000260,CUST114032,PROD10269,2025-12-22,4,Positive,True
REV100194,ORD1000260,CUST114032,PROD10226,2025-12-10,3,Neutral,True
REV100195,ORD1000260,CUST114032,PROD10231,2025-12-12,3,Neutral,True
REV100196,ORD1000266,CUST123185,PROD10403,2025-09-21,5,Positive,True
REV100197,ORD1000267,CUST113993,PROD10512,2024-07-10,5,Positive,True
REV100198,ORD1000268,CUST117719,PROD10254,2023-11-22,3,Neutral,True
REV100199,ORD1000271,CUST111340,PROD10203,2024-08-02,4,Positive,True
REV100200,ORD1000275,CUST118978,PROD10480,2024-01-17,5,Positive,True
REV100201,ORD1000276,CUST103693,PROD10019,2025-02-02,2,Negative,True
REV100202,ORD1000276,CUST103693,PROD10421,2025-02-19,4,Positive,True
REV100203,ORD1000277,CUST122429,PROD10101,2025-09-27,4,Positive,True
REV100204,ORD1000279,CUST109613,PROD10035,2023-07-31,4,Positive,True
REV100205,ORD1000279,CUST109613,PROD10147,2023-07-14,3,Neutral,True
REV100206,ORD1000281,CUST121791,PROD10322,2024-03-19,2,Negative,True
REV100207,ORD1000281,CUST121791,PROD10051,2024-03-12,3,Neutral,True
REV100208,ORD1000283,CUST121604,PROD10488,2023-06-04,3,Neutral,True
REV100209,ORD1000283,CUST121604,PROD10280,2023-06-11,2,Negative,True
REV100210,ORD1000284,CUST105773,PROD10152,2025-06-08,4,Positive,True
REV100211,ORD1000284,CUST105773,PROD10051,2025-05-24,5,Positive,False
REV100212,ORD1000285,CUST117905,PROD10383,2023-03-13,3,Neutral,True
REV100213,ORD1000285,CUST117905,PROD10238,2023-03-26,4,Positive,True
REV100214,ORD1000286,CUST110157,PROD10417,2023-12-03,5,Positive,True
REV100215,ORD1000291,CUST120759,PROD10194,2025-08-31,2,Negative,True
REV100216,ORD1000291,CUST120759,PROD10006,2025-09-09,3,Neutral,True
REV100217,ORD1000292,CUST115244,PROD10457,2024-09-07,5,Positive,True
REV100218,ORD1000293,CUST117127,PROD10510,2025-05-19,4,Positive,True
REV100219,ORD1000293,CUST117127,PROD10064,2025-05-20,2,Negative,True
REV100220,ORD1000294,CUST101488,PROD10220,2025-04-16,3,Neutral,True
REV100221,ORD1000294,CUST101488,PROD10341,2025-04-20,3,Neutral,True
REV100222,ORD1000295,CUST119799,PROD10067,2024-05-25,5,Positive,True
REV100223,ORD1000296,CUST116828,PROD10239,2023-11-07,4,Positive,True
REV100224,ORD1000298,CUST113936,PROD10231,2025-12-31,3,Neutral,True
REV100225,ORD1000298,CUST113936,PROD10374,2025-12-25,3,Neutral,True
REV100226,ORD1000298,CUST113936,PROD10403,2025-12-31,5,Positive,True
REV100227,ORD1000300,CUST114577,PROD10242,2024-11-07,3,Neutral,True
REV100228,ORD1000302,CUST119424,PROD10284,2023-04-19,4,Positive,True
REV100229,ORD1000303,CUST108077,PROD10366,2023-11-18,4,Positive,True
REV100230,ORD1000305,CUST124369,PROD10078,2025-02-14,4,Positive,True
REV100231,ORD1000307,CUST106426,PROD10372,2025-12-31,3,Neutral,True
REV100232,ORD1000314,CUST111574,PROD10133,2023-06-19,3,Neutral,True
REV100233,ORD1000314,CUST111574,PROD10019,2023-07-05,4,Positive,True
REV100234,ORD1000316,CUST104923,PROD10509,2025-10-24,3,Neutral,True
REV100235,ORD1000318,CUST103778,PROD10385,2025-12-29,4,Positive,True
REV100236,ORD1000318,CUST103778,PROD10255,2025-12-14,4,Positive,True
REV100237,ORD1000320,CUST103637,PROD10510,2023-03-05,3,Neutral,True
REV100238,ORD1000321,CUST108390,PROD10418,2025-03-14,2,Negative,True
REV100239,ORD1000323,CUST121477,PROD10367,2025-12-19,4,Positive,True
REV100240,ORD1000324,CUST119709,PROD10246,2025-02-20,5,Positive,True
REV100241,ORD1000328,CUST124731,PROD10355,2023-05-01,3,Neutral,True
REV100242,ORD1000328,CUST124731,PROD10055,2023-05-17,4,Positive,True
REV100243,ORD1000328,CUST124731,PROD10417,2023-05-20,5,Positive,True
REV100244,ORD1000333,CUST123112,PROD10112,2025-12-16,5,Positive,True
REV100245,ORD1000333,CUST123112,PROD10341,2025-12-12,3,Neutral,True
REV100246,ORD1000336,CUST119283,PROD10035,2025-06-24,5,Positive,True
REV100247,ORD1000337,CUST124820,PROD10064,2025-04-03,2,Negative,True
REV100248,ORD1000337,CUST124820,PROD10118,2025-03-21,3,Neutral,True
REV100249,ORD1000338,CUST106287,PROD10236,2024-07-19,4,Positive,True
REV100250,ORD1000339,CUST119805,PROD10363,2025-11-12,4,Positive,True
REV100251,ORD1000339,CUST119805,PROD10403,2025-11-13,3,Neutral,True
REV100252,ORD1000341,CUST119900,PROD10376,2023-07-13,4,Positive,True
REV100253,ORD1000341,CUST119900,PROD10152,2023-07-02,3,Neutral,True
REV100254,ORD1000342,CUST104853,PROD10281,2023-06-30,3,Neutral,True
REV100255,ORD1000342,CUST104853,PROD10389,2023-06-25,4,Positive,True
REV100256,ORD1000343,CUST100273,PROD10327,2025-11-23,4,Positive,True
REV100257,ORD1000343,CUST100273,PROD10392,2025-11-30,2,Negative,True
REV100258,ORD1000347,CUST109302,PROD10436,2023-05-14,3,Neutral,True
REV100259,ORD1000348,CUST119915,PROD10160,2024-01-02,4,Positive,True
REV100260,ORD1000349,CUST118510,PROD10007,2025-02-26,2,Negative,True
REV100261,ORD1000350,CUST106076,PROD10387,2025-01-03,3,Neutral,True
REV100262,ORD1000350,CUST106076,PROD10392,2025-01-09,3,Neutral,True
REV100263,ORD1000350,CUST106076,PROD10499,2025-01-14,3,Neutral,True
REV100264,ORD1000351,CUST113561,PROD10246,2025-03-19,3,Neutral,True
REV100265,ORD1000353,CUST115738,PROD10231,2023-12-15,3,Neutral,True
REV100266,ORD1000353,CUST115738,PROD10203,2023-11-29,5,Positive,True
REV100267,ORD1000353,CUST115738,PROD10167,2023-12-09,5,Positive,True
REV100268,ORD1000354,CUST107401,PROD10112,2025-11-19,4,Positive,True
REV100269,ORD1000355,CUST106648,PROD10488,2025-05-31,4,Positive,True
REV100270,ORD1000356,CUST105084,PROD10002,2023-11-14,3,Neutral,True
REV100271,ORD1000358,CUST103083,PROD10380,2025-02-06,4,Positive,True
REV100272,ORD1000358,CUST103083,PROD10280,2025-01-22,3,Neutral,True
REV100273,ORD1000359,CUST121715,PROD10403,2023-05-30,3,Neutral,False
REV100274,ORD1000361,CUST107585,PROD10279,2025-04-11,5,Positive,True
REV100275,ORD1000361,CUST107585,PROD10309,2025-03-29,3,Neutral,True
REV100276,ORD1000363,CUST114187,PROD10231,2025-12-31,4,Positive,True
REV100277,ORD1000364,CUST110560,PROD10258,2024-03-18,4,Positive,True
REV100278,ORD1000367,CUST119520,PROD10495,2025-12-02,3,Neutral,True
REV100279,ORD1000368,CUST107445,PROD10488,2023-04-01,3,Neutral,True
REV100280,ORD1000372,CUST112217,PROD10007,2025-05-27,4,Positive,True
REV100281,ORD1000373,CUST115691,PROD10116,2023-10-04,4,Positive,True
REV100282,ORD1000373,CUST115691,PROD10405,2023-09-28,3,Neutral,True
REV100283,ORD1000374,CUST122686,PROD10535,2025-05-14,5,Positive,True
REV100284,ORD1000374,CUST122686,PROD10211,2025-05-12,4,Positive,True
REV100285,ORD1000376,CUST114353,PROD10472,2025-09-12,5,Positive,True
REV100286,ORD1000376,CUST114353,PROD10064,2025-09-03,4,Positive,True
REV100287,ORD1000377,CUST107220,PROD10367,2025-12-18,5,Positive,True
REV100288,ORD1000377,CUST107220,PROD10092,2025-12-09,4,Positive,True
REV100289,ORD1000377,CUST107220,PROD10417,2025-12-09,4,Positive,True
REV100290,ORD1000378,CUST112223,PROD10174,2025-04-11,5,Positive,True
REV100291,ORD1000379,CUST102814,PROD10019,2025-11-05,3,Neutral,True
REV100292,ORD1000379,CUST102814,PROD10411,2025-11-27,5,Positive,True
REV100293,ORD1000380,CUST122005,PROD10510,2024-09-24,4,Positive,True
REV100294,ORD1000381,CUST121411,PROD10356,2024-10-04,4,Positive,True
REV100295,ORD1000381,CUST121411,PROD10343,2024-10-03,3,Neutral,True
REV100296,ORD1000382,CUST124168,PROD10322,2024-04-12,3,Neutral,True
REV100297,ORD1000384,CUST108610,PROD10041,2024-09-01,3,Neutral,True
REV100298,ORD1000386,CUST115600,PROD10246,2025-01-19,3,Neutral,True
REV100299,ORD1000387,CUST111309,PROD10526,2023-05-11,3,Neutral,True
REV100300,ORD1000389,CUST120354,PROD10185,2025-12-04,4,Positive,True
REV100301,ORD1000389,CUST120354,PROD10239,2025-12-03,3,Neutral,True
REV100302,ORD1000389,CUST120354,PROD10051,2025-12-06,5,Positive,True
REV100303,ORD1000389,CUST120354,PROD10246,2025-11-21,3,Neutral,True
REV100304,ORD1000390,CUST108292,PROD10341,2025-08-29,5,Positive,True
REV100305,ORD1000391,CUST102086,PROD10346,2024-04-27,2,Negative,True
REV100306,ORD1000393,CUST110129,PROD10371,2025-10-12,4,Positive,True
REV100307,ORD1000393,CUST110129,PROD10172,2025-10-20,4,Positive,True
REV100308,ORD1000393,CUST110129,PROD10066,2025-10-28,5,Positive,True
REV100309,ORD1000396,CUST106633,PROD10134,2025-07-24,4,Positive,True
REV100310,ORD1000396,CUST106633,PROD10548,2025-07-19,5,Positive,True
REV100311,ORD1000397,CUST109273,PROD10341,2024-09-13,3,Neutral,True
REV100312,ORD1000398,CUST104618,PROD10380,2024-03-31,4,Positive,True
REV100313,ORD1000399,CUST116444,PROD10168,2023-11-08,3,Neutral,True
REV100314,ORD1000399,CUST116444,PROD10392,2023-11-25,3,Neutral,True
REV100315,ORD1000400,CUST103380,PROD10327,2024-05-08,4,Positive,True
REV100316,ORD1000402,CUST117909,PROD10509,2025-11-12,4,Positive,True
REV100317,ORD1000403,CUST101858,PROD10362,2025-11-06,5,Positive,True
REV100318,ORD1000403,CUST101858,PROD10317,2025-10-21,2,Negative,True
REV100319,ORD1000407,CUST121524,PROD10322,2025-07-29,3,Neutral,True
REV100320,ORD1000407,CUST121524,PROD10101,2025-07-30,4,Positive,True
REV100321,ORD1000407,CUST121524,PROD10225,2025-08-16,3,Neutral,True
REV100322,ORD1000409,CUST113559,PROD10525,2025-02-01,4,Positive,True
REV100323,ORD1000413,CUST122935,PROD10181,2023-07-08,4,Positive,True
REV100324,ORD1000413,CUST122935,PROD10488,2023-07-27,5,Positive,True
REV100325,ORD1000414,CUST102064,PROD10346,2024-02-14,3,Neutral,True
REV100326,ORD1000418,CUST113334,PROD10267,2025-02-13,2,Negative,True
REV100327,ORD1000418,CUST113334,PROD10092,2025-02-03,3,Neutral,True
REV100328,ORD1000418,CUST113334,PROD10290,2025-02-16,3,Neutral,True
REV100329,ORD1000419,CUST108852,PROD10149,2023-08-04,5,Positive,True
REV100330,ORD1000420,CUST110159,PROD10262,2025-10-16,4,Positive,True
REV100331,ORD1000420,CUST110159,PROD10112,2025-10-21,4,Positive,True
REV100332,ORD1000421,CUST115133,PROD10233,2023-03-29,4,Positive,True
REV100333,ORD1000423,CUST121581,PROD10019,2025-03-17,4,Positive,True
REV100334,ORD1000424,CUST100454,PROD10280,2024-01-06,3,Neutral,True
REV100335,ORD1000424,CUST100454,PROD10465,2024-01-27,3,Neutral,True
REV100336,ORD1000425,CUST105055,PROD10017,2025-10-17,4,Positive,True
REV100337,ORD1000425,CUST105055,PROD10435,2025-09-25,3,Neutral,True
REV100338,ORD1000425,CUST105055,PROD10510,2025-09-29,5,Positive,True
REV100339,ORD1000426,CUST117730,PROD10436,2023-08-15,4,Positive,True
REV100340,ORD1000427,CUST104395,PROD10421,2025-12-22,4,Positive,True
REV100341,ORD1000431,CUST103141,PROD10129,2025-12-09,4,Positive,True
REV100342,ORD1000431,CUST103141,PROD10358,2025-11-26,3,Neutral,True
REV100343,ORD1000435,CUST116623,PROD10341,2025-12-31,3,Neutral,True
REV100344,ORD1000436,CUST121169,PROD10239,2025-08-26,4,Positive,True
REV100345,ORD1000438,CUST108513,PROD10118,2025-06-25,5,Positive,True
REV100346,ORD1000442,CUST122564,PROD10152,2025-08-05,4,Positive,True
REV100347,ORD1000444,CUST100103,PROD10112,2023-07-25,5,Positive,True
REV100348,ORD1000445,CUST123904,PROD10172,2024-03-28,5,Positive,True
REV100349,ORD1000446,CUST107708,PROD10164,2024-07-06,5,Positive,True
REV100350,ORD1000446,CUST107708,PROD10118,2024-07-07,4,Positive,True
REV100351,ORD1000447,CUST101623,PROD10499,2024-08-26,3,Neutral,True
REV100352,ORD1000448,CUST119773,PROD10148,2025-12-31,3,Neutral,True
REV100353,ORD1000448,CUST119773,PROD10005,2025-12-31,4,Positive,True
