shipment_id,order_id,warehouse_city,delivery_city,shipping_method,dispatch_date,expected_delivery_date,actual_delivery_date,delivery_days,delivery_status,delayed_flag
SHIP1000053,ORD1000065,Ahmedabad,Jodhpur,Economy/Surface,2024-12-04,2024-12-12,2024-12-11,7.0,Delivered,0
SHIP1000054,ORD1000066,Delhi-NCR (Gurugram),Faridabad,Next-Day,2025-12-20,2025-12-22,2025-12-21,1.0,Delivered,0
SHIP1000055,ORD1000068,Chennai,Chennai,Economy/Surface,2025-11-06,2025-11-14,2025-11-14,8.0,Delivered,0
SHIP1000056,ORD1000069,Delhi-NCR (Gurugram),Ludhiana,Economy/Surface,2024-11-03,2024-11-11,2024-11-10,7.0,Delivered,0
SHIP1000057,ORD1000070,Ahmedabad,Jaipur,Economy/Surface,2024-06-27,2024-07-05,2024-07-06,9.0,Delivered,1
SHIP1000058,ORD1000071,Mumbai,Mumbai,Standard,2025-02-01,2025-02-05,2025-02-04,3.0,Delivered then Returned,0
SHIP1000059,ORD1000072,Kolkata,Patna,Express,2023-07-02,2023-07-04,2023-07-05,3.0,Delivered,1
SHIP1000060,ORD1000074,Hyderabad,Visakhapatnam,Standard,2023-11-01,2023-11-05,2023-11-04,3.0,Delivered,0
SHIP1000061,ORD1000075,Delhi-NCR (Gurugram),Noida,Next-Day,2025-10-26,2025-10-28,2025-10-31,5.0,Delivered,1
SHIP1000062,ORD1000076,Hyderabad,Vijayawada,Standard,2025-08-10,2025-08-14,2025-08-16,6.0,Delivered,1
SHIP1000063,ORD1000077,Hyderabad,Hyderabad,Express,2023-07-21,2023-07-23,2023-07-23,2.0,Delivered,0
SHIP1000064,ORD1000078,Hyderabad,Hyderabad,Next-Day,2025-04-05,2025-04-07,2025-04-07,2.0,Delivered,0
SHIP1000065,ORD1000079,Ahmedabad,Jaipur,Standard,2024-10-29,2024-11-02,2024-11-07,9.0,Delivered,1
SHIP1000066,ORD1000080,Delhi-NCR (Gurugram),Gurugram,Standard,2025-08-20,2025-08-24,2025-08-23,3.0,Delivered,0
SHIP1000067,ORD1000082,Delhi-NCR (Gurugram),New Delhi,Standard,2024-12-02,2024-12-06,2024-12-06,4.0,Delivered,0
SHIP1000068,ORD1000083,Chennai,Chennai,Standard,2025-11-19,2025-11-23,2025-11-22,3.0,Delivered,0
SHIP1000069,ORD1000084,Delhi-NCR (Gurugram),New Delhi,Economy/Surface,2025-01-13,2025-01-21,2025-01-21,8.0,Delivered,0
SHIP1000070,ORD1000085,Chennai,Thiruvananthapuram,Standard,2025-11-25,2025-11-29,2025-12-01,6.0,Delivered,1
SHIP1000071,ORD1000086,Ahmedabad,Ahmedabad,Next-Day,2025-11-24,2025-11-26,2025-11-25,1.0,Delivered,0
SHIP1000072,ORD1000087,Mumbai,Mumbai,Standard,2025-06-18,2025-06-22,2025-06-24,6.0,Delivered,1
SHIP1000073,ORD1000089,Delhi-NCR (Gurugram),Kanpur,Economy/Surface,2025-12-09,2025-12-17,,,Cancelled in Transit,0
SHIP1000074,ORD1000090,Mumbai,Mumbai,Standard,2024-12-01,2024-12-05,2024-12-07,6.0,Delivered,1
SHIP1000075,ORD1000091,Bengaluru,Mysuru,Next-Day,2025-11-03,2025-11-05,2025-11-05,2.0,Delivered,0
SHIP1000076,ORD1000093,Delhi-NCR (Gurugram),Faridabad,Standard,2025-11-21,2025-11-25,2025-11-27,6.0,Delivered,1
SHIP1000077,ORD1000094,Kolkata,Howrah,Standard,2024-04-19,2024-04-23,2024-04-22,3.0,Delivered,0
SHIP1000078,ORD1000095,Mumbai,Mumbai,Standard,2023-05-30,2023-06-03,2023-06-03,4.0,Delivered,0
SHIP1000079,ORD1000096,Delhi-NCR (Gurugram),Noida,Economy/Surface,2023-07-25,2023-08-02,2023-08-02,8.0,Delivered,0
SHIP1000080,ORD1000097,Delhi-NCR (Gurugram),Faridabad,Next-Day,2023-11-04,2023-11-06,2023-11-05,1.0,Delivered,0
SHIP1000081,ORD1000098,Delhi-NCR (Gurugram),Ludhiana,Next-Day,2025-09-29,2025-10-01,2025-10-01,2.0,Delivered,0
SHIP1000082,ORD1000099,Delhi-NCR (Gurugram),Amritsar,Next-Day,2023-03-20,2023-03-22,2023-03-21,1.0,Delivered,0
SHIP1000083,ORD1000100,Delhi-NCR (Gurugram),Noida,Standard,2023-09-30,2023-10-04,2023-10-05,5.0,Delivered,1
SHIP1000084,ORD1000101,Kolkata,Howrah,Same-Day,2025-09-13,2025-09-13,2025-09-14,1.0,Delivered,1
SHIP1000085,ORD1000102,Chennai,Chennai,Next-Day,2025-03-11,2025-03-13,2025-03-12,1.0,Delivered,0
SHIP1000086,ORD1000103,Mumbai,Bhopal,Standard,2025-05-17,2025-05-21,2025-05-26,9.0,Delivered,1
SHIP1000087,ORD1000104,Ahmedabad,Vadodara,Standard,2025-12-05,2025-12-09,2025-12-12,7.0,Delivered,1
SHIP1000088,ORD1000105,Delhi-NCR (Gurugram),Kanpur,Express,2025-08-06,2025-08-08,2025-08-07,1.0,Delivered,0
SHIP1000089,ORD1000106,Mumbai,Pune,Standard,2025-04-17,2025-04-21,2025-04-23,6.0,Delivered then Returned,1
SHIP1000090,ORD1000107,Bengaluru,Bengaluru,Same-Day,2024-05-13,2024-05-13,2024-05-14,1.0,Delivered,1
SHIP1000091,ORD1000108,Delhi-NCR (Gurugram),Kanpur,Standard,2025-12-04,2025-12-08,2025-12-10,6.0,Delivered,1
SHIP1000092,ORD1000109,Delhi-NCR (Gurugram),New Delhi,Next-Day,2023-06-05,2023-06-07,2023-06-06,1.0,Delivered then Returned,0
SHIP1000093,ORD1000110,Delhi-NCR (Gurugram),Faridabad,Next-Day,2024-02-25,2024-02-27,2024-02-26,1.0,Delivered,0
SHIP1000094,ORD1000111,Delhi-NCR (Gurugram),Noida,Economy/Surface,2025-10-06,2025-10-14,2025-10-16,10.0,Delivered,1
SHIP1000095,ORD1000112,Ahmedabad,Vadodara,Standard,2025-11-24,2025-11-28,2025-11-27,3.0,Delivered then Returned,0
SHIP1000096,ORD1000114,Kolkata,Kolkata,Economy/Surface,2025-03-30,2025-04-07,2025-04-04,5.0,Delivered,0
SHIP1000097,ORD1000115,Ahmedabad,Jodhpur,Economy/Surface,2025-12-21,2025-12-29,2025-12-29,8.0,Delivered,0
SHIP1000098,ORD1000116,Delhi-NCR (Gurugram),Faridabad,Express,2025-09-13,2025-09-15,,,Cancelled in Transit,0
SHIP1000099,ORD1000117,Delhi-NCR (Gurugram),Ludhiana,Express,2023-09-23,2023-09-25,2023-09-26,3.0,Delivered,1
SHIP1000100,ORD1000118,Bengaluru,Bengaluru,Standard,2025-02-28,2025-03-04,2025-03-03,3.0,Delivered,0
SHIP1000101,ORD1000119,Delhi-NCR (Gurugram),Lucknow,Standard,2025-10-14,2025-10-18,2025-10-21,7.0,Delivered,1
SHIP1000102,ORD1000121,Mumbai,Nagpur,Next-Day,2025-03-14,2025-03-16,2025-03-16,2.0,Delivered,0
SHIP1000103,ORD1000122,Hyderabad,Warangal,Same-Day,2024-11-21,2024-11-21,2024-11-21,0.0,Delivered,0
SHIP1000104,ORD1000123,Delhi-NCR (Gurugram),Noida,Next-Day,2024-03-29,2024-03-31,2024-03-31,2.0,Delivered,0
SHIP1000105,ORD1000124,Ahmedabad,Ahmedabad,Standard,2024-05-19,2024-05-23,2024-05-24,5.0,Delivered,1
SHIP1000106,ORD1000125,Hyderabad,Warangal,Standard,2023-11-09,2023-11-13,2023-11-14,5.0,Delivered,1
SHIP1000107,ORD1000126,Mumbai,Mumbai,Express,2025-11-25,2025-11-27,2025-12-01,6.0,Delivered,1
SHIP1000108,ORD1000127,Delhi-NCR (Gurugram),New Delhi,Next-Day,2025-04-22,2025-04-24,2025-04-23,1.0,Delivered,0
SHIP1000109,ORD1000128,Delhi-NCR (Gurugram),Kanpur,Economy/Surface,2025-12-27,2025-12-31,2025-12-31,9.0,Delivered,0
SHIP1000110,ORD1000129,Delhi-NCR (Gurugram),New Delhi,Economy/Surface,2025-07-06,2025-07-14,2025-07-16,10.0,Delivered,1
SHIP1000111,ORD1000130,Bengaluru,Bengaluru,Standard,2024-04-13,2024-04-17,2024-04-16,3.0,Delivered,0
SHIP1000112,ORD1000131,Chennai,Thiruvananthapuram,Standard,2023-09-26,2023-09-30,2023-09-30,4.0,Delivered,0
SHIP1000113,ORD1000132,Mumbai,Pune,Same-Day,2025-01-25,2025-01-25,2025-01-25,0.0,Delivered,0
SHIP1000114,ORD1000133,Mumbai,Mumbai,Next-Day,2023-08-27,2023-08-29,2023-08-29,2.0,Delivered then Returned,0
SHIP1000115,ORD1000134,Delhi-NCR (Gurugram),Amritsar,Next-Day,2024-08-12,2024-08-14,2024-08-13,1.0,Delivered,0
SHIP1000116,ORD1000135,Delhi-NCR (Gurugram),Lucknow,Standard,2023-04-17,2023-04-21,2023-04-22,5.0,Delivered,1
SHIP1000117,ORD1000136,Hyderabad,Vijayawada,Same-Day,2025-04-24,2025-04-24,2025-04-24,0.0,Delivered,0
SHIP1000118,ORD1000137,Mumbai,Bhopal,Express,2023-08-17,2023-08-19,2023-08-18,1.0,Delivered,0
SHIP1000119,ORD1000138,Chennai,Thiruvananthapuram,Standard,2023-11-14,2023-11-18,2023-11-17,3.0,Delivered,0
SHIP1000120,ORD1000139,Mumbai,Nagpur,Standard,2025-12-25,2025-12-29,2025-12-31,6.0,Delivered,1
SHIP1000121,ORD1000140,Delhi-NCR (Gurugram),Gurugram,Standard,2023-03-27,2023-03-31,2023-03-31,4.0,Delivered,0
SHIP1000122,ORD1000141,Chennai,Chennai,Same-Day,2024-12-25,2024-12-25,2024-12-26,1.0,Delivered,1
SHIP1000123,ORD1000142,Mumbai,Mumbai,Express,2025-11-27,2025-11-29,2025-11-28,1.0,Delivered,0
SHIP1000124,ORD1000143,Chennai,Coimbatore,Standard,2025-10-26,2025-10-30,2025-11-05,10.0,Delivered,1
SHIP1000125,ORD1000144,Bengaluru,Bengaluru,Economy/Surface,2023-11-09,2023-11-17,2023-11-14,5.0,Delivered,0
SHIP1000126,ORD1000145,Kolkata,Kolkata,Express,2023-04-23,2023-04-25,,,Cancelled in Transit,0
SHIP1000127,ORD1000146,Chennai,Coimbatore,Same-Day,2025-02-06,2025-02-06,2025-02-07,1.0,Delivered,1
SHIP1000128,ORD1000147,Mumbai,Nagpur,Express,2025-10-31,2025-11-02,2025-11-03,3.0,Delivered,1
SHIP1000129,ORD1000148,Delhi-NCR (Gurugram),Noida,Standard,2025-07-16,2025-07-20,2025-07-21,5.0,Delivered,1
SHIP1000130,ORD1000149,Delhi-NCR (Gurugram),Noida,Standard,2025-11-02,2025-11-06,2025-11-07,5.0,Delivered,1
SHIP1000131,ORD1000151,Chennai,Kochi,Standard,2023-02-21,2023-02-25,2023-02-27,6.0,Delivered,1
SHIP1000132,ORD1000152,Bengaluru,Mysuru,Standard,2025-11-15,2025-11-19,2025-11-19,4.0,Delivered,0
SHIP1000133,ORD1000153,Mumbai,Bhopal,Next-Day,2024-11-04,2024-11-06,2024-11-05,1.0,Delivered,0
SHIP1000134,ORD1000154,Ahmedabad,Ahmedabad,Standard,2025-03-26,2025-03-30,2025-03-31,5.0,Delivered then Returned,1
SHIP1000135,ORD1000155,Hyderabad,Warangal,Standard,2025-12-14,2025-12-18,2025-12-21,7.0,Delivered,1
SHIP1000136,ORD1000156,Delhi-NCR (Gurugram),New Delhi,Next-Day,2024-02-10,2024-02-12,2024-02-12,2.0,Delivered,0
SHIP1000137,ORD1000157,Hyderabad,Hyderabad,Express,2024-04-22,2024-04-24,2024-04-25,3.0,Delivered,1
SHIP1000138,ORD1000158,Ahmedabad,Surat,Express,2023-11-28,2023-11-30,2023-11-29,1.0,Delivered then Returned,0
SHIP1000139,ORD1000159,Chennai,Thiruvananthapuram,Standard,2025-03-23,2025-03-27,2025-03-27,4.0,Delivered then Returned,0
SHIP1000140,ORD1000160,Kolkata,Howrah,Same-Day,2025-09-30,2025-09-30,2025-09-30,0.0,Delivered,0
SHIP1000141,ORD1000161,Chennai,Kochi,Next-Day,2024-06-10,2024-06-12,2024-06-11,1.0,Delivered,0
SHIP1000142,ORD1000162,Delhi-NCR (Gurugram),Amritsar,Standard,2025-07-06,2025-07-10,2025-07-11,5.0,Delivered,1
SHIP1000143,ORD1000163,Mumbai,Mumbai,Standard,2024-08-19,2024-08-23,2024-08-24,5.0,Delivered,1
SHIP1000144,ORD1000164,Hyderabad,Visakhapatnam,Standard,2023-11-05,2023-11-09,2023-11-10,5.0,Delivered,1
SHIP1000145,ORD1000165,Mumbai,Bhopal,Express,2024-10-26,2024-10-28,2024-10-27,1.0,Delivered,0
SHIP1000146,ORD1000166,Delhi-NCR (Gurugram),Gurugram,Express,2025-11-05,2025-11-07,2025-11-07,2.0,Delivered then Returned,0
SHIP1000147,ORD1000167,Delhi-NCR (Gurugram),Lucknow,Standard,2023-12-21,2023-12-25,2023-12-25,4.0,Delivered then Returned,0
SHIP1000148,ORD1000168,Bengaluru,Mysuru,Same-Day,2025-11-16,2025-11-16,2025-11-17,1.0,Delivered,1
SHIP1000149,ORD1000170,Ahmedabad,Vadodara,Standard,2024-05-30,2024-06-03,2024-06-02,3.0,Delivered,0
SHIP1000150,ORD1000171,Kolkata,Patna,Same-Day,2024-01-27,2024-01-27,2024-01-28,1.0,Delivered,1
SHIP1000151,ORD1000172,Mumbai,Bhopal,Next-Day,2024-08-15,2024-08-17,2024-08-16,1.0,Delivered,0
SHIP1000152,ORD1000174,Delhi-NCR (Gurugram),New Delhi,Express,2024-12-03,2024-12-05,2024-12-05,2.0,Delivered,0
SHIP1000153,ORD1000175,Ahmedabad,Surat,Economy/Surface,2023-04-03,2023-04-11,2023-04-09,6.0,Delivered,0
SHIP1000154,ORD1000176,Hyderabad,Hyderabad,Next-Day,2025-03-08,2025-03-10,2025-03-09,1.0,Delivered,0
SHIP1000155,ORD1000177,Mumbai,Nagpur,Standard,2025-11-25,2025-11-29,2025-11-29,4.0,Delivered,0
SHIP1000156,ORD1000178,Chennai,Thiruvananthapuram,Same-Day,2025-05-06,2025-05-06,2025-05-09,3.0,Delivered,1
SHIP1000157,ORD1000179,Mumbai,Pune,Express,2024-12-31,2025-01-02,2025-01-01,1.0,Delivered,0
SHIP1000158,ORD1000180,Hyderabad,Hyderabad,Express,2025-12-14,2025-12-16,2025-12-16,2.0,Delivered,0
SHIP1000159,ORD1000181,Kolkata,Kolkata,Economy/Surface,2025-12-05,2025-12-13,2025-12-13,8.0,Delivered,0
SHIP1000160,ORD1000182,Chennai,Kochi,Standard,2025-10-06,2025-10-10,2025-10-12,6.0,Delivered,1
SHIP1000161,ORD1000183,Hyderabad,Warangal,Economy/Surface,2025-05-24,2025-06-01,2025-05-30,6.0,Delivered,0
SHIP1000162,ORD1000184,Delhi-NCR (Gurugram),Lucknow,Economy/Surface,2023-09-16,2023-09-24,2023-09-23,7.0,Delivered,0
SHIP1000163,ORD1000185,Mumbai,Nagpur,Standard,2024-05-17,2024-05-21,2024-05-25,8.0,Delivered,1
SHIP1000164,ORD1000186,Ahmedabad,Jodhpur,Standard,2024-04-28,2024-05-02,2024-05-01,3.0,Delivered,0
SHIP1000165,ORD1000187,Ahmedabad,Vadodara,Standard,2025-02-02,2025-02-06,2025-02-08,6.0,Delivered,1
SHIP1000166,ORD1000188,Chennai,Coimbatore,Express,2023-11-12,2023-11-14,2023-11-14,2.0,Delivered,0
SHIP1000167,ORD1000189,Mumbai,Pune,Standard,2025-10-22,2025-10-26,2025-10-28,6.0,Delivered,1
SHIP1000168,ORD1000190,Delhi-NCR (Gurugram),Faridabad,Standard,2025-09-27,2025-10-01,2025-10-07,10.0,Delivered,1
SHIP1000169,ORD1000191,Delhi-NCR (Gurugram),New Delhi,Express,2023-08-07,2023-08-09,2023-08-08,1.0,Delivered then Returned,0
SHIP1000170,ORD1000193,Mumbai,Mumbai,Standard,2023-06-23,2023-06-27,2023-06-27,4.0,Delivered,0
SHIP1000171,ORD1000194,Mumbai,Pune,Express,2023-11-23,2023-11-25,2023-11-26,3.0,Delivered,1
SHIP1000172,ORD1000195,Ahmedabad,Ahmedabad,Express,2025-12-25,2025-12-27,2025-12-26,1.0,Delivered,0
SHIP1000173,ORD1000197,Chennai,Chennai,Standard,2023-07-10,2023-07-14,2023-07-13,3.0,Delivered,0
SHIP1000174,ORD1000198,Ahmedabad,Ahmedabad,Standard,2025-05-23,2025-05-27,,,Cancelled in Transit,0
SHIP1000175,ORD1000200,Delhi-NCR (Gurugram),New Delhi,Express,2024-06-21,2024-06-23,2024-06-24,3.0,Delivered,1
SHIP1000176,ORD1000201,Bengaluru,Mysuru,Standard,2023-08-13,2023-08-17,2023-08-19,6.0,Delivered,1
SHIP1000177,ORD1000203,Ahmedabad,Jodhpur,Next-Day,2025-04-19,2025-04-21,2025-04-20,1.0,Delivered,0
SHIP1000178,ORD1000205,Hyderabad,Hyderabad,Standard,2025-10-10,2025-10-14,2025-10-13,3.0,Delivered,0
SHIP1000179,ORD1000206,Delhi-NCR (Gurugram),Kanpur,Standard,2025-07-08,2025-07-12,2025-07-11,3.0,Delivered,0
SHIP1000180,ORD1000208,Ahmedabad,Ahmedabad,Standard,2023-12-24,2023-12-28,2023-12-30,6.0,Delivered,1
SHIP1000181,ORD1000209,Kolkata,Patna,Economy/Surface,2023-03-06,2023-03-14,2023-03-16,10.0,Delivered,1
SHIP1000182,ORD1000211,Delhi-NCR (Gurugram),Ludhiana,Standard,2025-12-06,2025-12-10,2025-12-15,9.0,Delivered,1
SHIP1000183,ORD1000212,Ahmedabad,Surat,Express,2024-11-02,2024-11-04,2024-11-03,1.0,Delivered,0
SHIP1000184,ORD1000213,Ahmedabad,Ahmedabad,Standard,2025-08-28,2025-09-01,2025-09-02,5.0,Delivered,1
SHIP1000185,ORD1000214,Chennai,Thiruvananthapuram,Express,2024-09-29,2024-10-01,2024-10-01,2.0,Delivered,0
SHIP1000186,ORD1000215,Ahmedabad,Surat,Standard,2025-11-05,2025-11-09,,,Cancelled in Transit,0
SHIP1000187,ORD1000216,Kolkata,Kolkata,Express,2023-06-03,2023-06-05,2023-06-05,2.0,Delivered,0
SHIP1000188,ORD1000217,Hyderabad,Hyderabad,Next-Day,2025-09-09,2025-09-11,2025-09-11,2.0,Delivered,0
SHIP1000189,ORD1000218,Hyderabad,Warangal,Express,2025-11-08,2025-11-10,2025-11-11,3.0,Delivered,1
SHIP1000190,ORD1000219,Chennai,Kochi,Next-Day,2025-11-18,2025-11-20,2025-11-19,1.0,Delivered,0
SHIP1000191,ORD1000220,Bengaluru,Mysuru,Standard,2024-05-04,2024-05-08,2024-05-09,5.0,Delivered,1
SHIP1000192,ORD1000221,Hyderabad,Warangal,Standard,2025-05-05,2025-05-09,2025-05-11,6.0,Delivered,1
SHIP1000193,ORD1000222,Ahmedabad,Vadodara,Express,2024-08-08,2024-08-10,2024-08-10,2.0,Delivered,0
SHIP1000194,ORD1000223,Mumbai,Pune,Standard,2024-05-23,2024-05-27,2024-05-26,3.0,Delivered,0
SHIP1000195,ORD1000224,Delhi-NCR (Gurugram),Faridabad,Same-Day,2024-09-03,2024-09-03,2024-09-03,0.0,Delivered then Returned,0
SHIP1000196,ORD1000225,Chennai,Kochi,Next-Day,2025-12-26,2025-12-28,2025-12-30,4.0,Delivered,1
SHIP1000197,ORD1000226,Delhi-NCR (Gurugram),Faridabad,Standard,2025-09-12,2025-09-16,2025-09-18,6.0,Delivered,1
SHIP1000198,ORD1000227,Delhi-NCR (Gurugram),New Delhi,Standard,2024-12-27,2024-12-31,2024-12-30,3.0,Delivered,0
SHIP1000199,ORD1000228,Mumbai,Pune,Express,2025-09-03,2025-09-05,2025-09-05,2.0,Delivered,0
SHIP1000200,ORD1000229,Delhi-NCR (Gurugram),Amritsar,Standard,2025-12-22,2025-12-26,2025-12-28,6.0,Delivered,1
SHIP1000201,ORD1000230,Delhi-NCR (Gurugram),Kanpur,Standard,2025-03-14,2025-03-18,2025-03-20,6.0,Delivered,1
SHIP1000202,ORD1000232,Ahmedabad,Jodhpur,Same-Day,2025-09-26,2025-09-26,2025-09-26,0.0,Delivered,0
SHIP1000203,ORD1000234,Kolkata,Patna,Standard,2023-04-23,2023-04-27,2023-04-27,4.0,Delivered,0
SHIP1000204,ORD1000235,Delhi-NCR (Gurugram),Faridabad,Economy/Surface,2024-04-02,2024-04-10,2024-04-09,7.0,Delivered,0
SHIP1000205,ORD1000237,Mumbai,Nagpur,Standard,2025-04-20,2025-04-24,2025-04-27,7.0,Delivered,1
